CO_CURSO,NT_GER,y_perf
1105396,18.9,low
1105396,20.8,low
1105396,25.8,low
1105396,26.2,low
1105396,29.5,low
1105396,32.2,low
1105396,34.0,low
1105396,34.1,low
1105396,35.9,low
1105396,36.2,low
1105396,36.3,low
1105396,36.4,low
1105396,36.8,low
1105396,37.2,low
1105396,38.2,low
1105396,39.5,low
1105396,41.9,low
1105396,42.1,low
1105396,42.6,low
1105396,42.9,low
1105396,43.0,low
1105396,43.7,low
1105396,44.0,low
1105396,46.6,low
1105396,46.7,low
1105396,46.8,low
1105396,48.1,low
1105396,50.2,medium
1105396,51.6,medium
1105396,53.0,medium
1105396,53.5,medium
1105396,58.4,medium
1105396,59.2,medium
1105396,59.3,medium
1105396,59.4,medium
1105396,59.5,medium
1105396,59.7,medium
1105396,60.0,medium
1105396,60.0,medium
1105396,64.1,medium
1105396,65.2,medium
1105396,65.5,high
1105396,67.5,high
1105396,71.1,high
1105396,72.3,high
1105396,72.7,high
1132074,16.8,low
1132074,18.7,low
1132074,19.1,low
1132074,19.8,low
1132074,20.1,low
1132074,20.4,low
1132074,20.9,low
1132074,21.0,low
1132074,22.7,low
1132074,25.4,low
1132074,26.4,low
1132074,26.7,low
1132074,28.2,low
1132074,28.6,low
1132074,28.7,low
1132074,28.9,low
1132074,29.1,low
1132074,30.4,low
1132074,31.5,low
1132074,31.7,low
1132074,32.0,low
1132074,32.2,low
1132074,32.4,low
1132074,33.7,low
1132074,34.2,low
1132074,34.6,low
1132074,34.8,low
1132074,35.5,low
1132074,35.9,low
1132074,36.2,low
1132074,36.2,low
1132074,37.0,low
1132074,37.6,low
1132074,37.9,low
1132074,38.5,low
1132074,39.1,low
1132074,39.2,low
1132074,39.5,low
1132074,39.7,low
1132074,40.2,low
1132074,40.2,low
1132074,40.8,low
1132074,40.8,low
1132074,41.0,low
1132074,42.4,low
1132074,43.0,low
1132074,43.9,low
1132074,44.3,low
1132074,45.5,low
1132074,45.6,low
1132074,45.8,low
1132074,45.9,low
1132074,48.3,low
1132074,48.8,low
1132074,49.7,medium
1132074,49.9,medium
1132074,49.9,medium
1132074,50.8,medium
1132074,51.9,medium
1132074,51.9,medium
1132074,52.3,medium
1132074,52.5,medium
1132074,55.0,medium
1132074,57.0,medium
1132074,57.9,medium
1132074,60.3,medium
