"NU_ANO","CO_CURSO","NU_ITEM_OFG","NU_ITEM_OFG_Z","NU_ITEM_OFG_X","NU_ITEM_OFG_N","NU_ITEM_OCE","NU_ITEM_OCE_Z","NU_ITEM_OCE_X","NU_ITEM_OCE_N","DS_VT_GAB_OFG_FIN","DS_VT_GAB_OCE_FIN","DS_VT_ESC_OFG","DS_VT_ACE_OFG","DS_VT_ESC_OCE","DS_VT_ACE_OCE","TP_PRES","TP_PR_GER","TP_PR_OB_FG","TP_PR_DI_FG","TP_PR_OB_CE","TP_PR_DI_CE","TP_SFG_D1","TP_SFG_D2","TP_SCE_D1","TP_SCE_D2","TP_SCE_D3","NT_GER","NT_FG","NT_OBJ_FG","NT_DIS_FG","NT_FG_D1","NT_FG_D1_PT","NT_FG_D1_CT","NT_FG_D2","NT_FG_D2_PT","NT_FG_D2_CT","NT_CE","NT_OBJ_CE","NT_DIS_CE","NT_CE_D1","NT_CE_D2","NT_CE_D3","CO_RS_I1","CO_RS_I2","CO_RS_I3","CO_RS_I4","CO_RS_I5","CO_RS_I6","CO_RS_I7","CO_RS_I8","CO_RS_I9"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,444,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD",,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDAEBDCA","01100000","ECAEBBDDEABCDBCCEACBABAADDB","001090100009009901019009100",555,555,555,333,555,333,333,333,333,333,333,"18.9",15,25,0,0,0,0,0,0,0,"20.2","23.8",0,0,0,0,"C","C","B","E","E","C","A","C","A"
2022,1105396,8,0,0,0,27,0,0,0,"BDACDEDC","CAABCEDEACDDBCCBCABBAEEBDBD","EDACADCE","01110000","CABDABDCDBEADBEAEAACCCDEDAA","110090100009009901009009100",555,555,555,333,555,333,333,333,333,333,333,"20.8","22.5","37.5",0,0,0,0,0,0,0,"20.2","23.8",0,0,0,0,"B","B","D","B","B","C","B","C","B"
