NU_ANO;CO_CURSO;DS_VT_ACE_OFG;DS_VT_ACE_OCE;NT_FG_D1_CT;NT_FG_D2_CT;NT_CE_D1;NT_CE_D2;NT_CE_D3
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;;;;;;;
2022;1105396;01100000;001090100009009901019009100;0;0;0;0;0
2022;1105396;01110000;110090100009009901009009100;0;0;0;0;0
2022;1105396;00100100;101090100009109900009009000;50;87.5;0;50;25
2022;1105396;00001000;010090101009119910109009001;0;0;0;0;0
2022;1105396;01010101;011090011009109900109009010;0;0;0;0;0
2022;1105396;01010001;101090010109119900109009000;75;25;0;0;0
2022;1105396;00111100;101090010009019901009009100;50;75;0;50;0
2022;1105396;01101100;101091000109009900019009100;62.5;37.5;0;50;25
2022;1105396;01110101;101090110109009910009109000;50;50;0;0;0
2022;1105396;00100101;101190011009019900019009100;75;50;0;0;0
2022;1105396;01110100;100090111009109900009109100;62.5;37.5;30;25;0
2022;1105396;01110100;000190110009109900019009100;100;75;0;0;50
2022;1105396;11000011;101091000009109901009009100;100;75;0;50;25
2022;1105396;01110001;100091100009119911009019100;0;0;0;50;0
2022;1105396;01100101;101090100019109901009109100;25;37.5;0;50;25
2022;1105396;11100100;101090010109019900009009110;37.5;75;0;50;75
2022;1105396;00101101;111190100019109900009009100;62.5;37.5;73.3;50;0
2022;1105396;11100001;111090001009009901019009111;25;75;0;50;0
2022;1105396;01101101;001091100009119900009009111;50;62.5;0;25;50
2022;1105396;01001101;100190010009109900109109110;100;50;0;100;0
2022;1105396;01110101;001090111009109910009109100;75;50;0;25;50
2022;1105396;11100101;100090101119019900119009100;50;75;0;25;0
2022;1105396;01101101;111190001009009900019019101;0;0;90;50;25
2022;1105396;01101100;101090111109109901009009101;50;87.5;0;50;0
2022;1105396;01000001;111190100009109910019019111;50;37.5;0;50;0
2022;1105396;01111111;001090110019109900019119111;0;0;0;0;0
2022;1105396;01111101;001090101019119901009119100;75;50;0;0;0
2022;1105396;01110100;101091111019109900009019100;50;62.5;50;50;75
2022;1105396;01101101;101190001109009901009019011;75;87.5;73.3;25;75
2022;1105396;00100001;011091100119009911009119111;75;62.5;73.3;0;0
2022;1105396;11111101;110190110009019901109009111;62.5;0;0;50;50
2022;1105396;11100111;101190110009109911019019110;50;75;73.3;50;0
2022;1105396;11100001;101190101119119911119009100;75;75;0;50;0
2022;1105396;01110101;100191101119009911019019100;87.5;100;0;75;50
2022;1105396;11101111;100090011009109910119119111;50;62.5;0;50;50
2022;1105396;01111000;110091111109109911109109110;62.5;87.5;0;25;25
2022;1105396;01100110;001091101119019900119019111;87.5;75;0;50;75
2022;1105396;10111101;111090110019019901019019111;50;75;0;50;25
2022;1105396;01101111;111190100119019901019019100;75;75;73.3;50;0
2022;1105396;01110101;111091101119019911119019110;12.5;37.5;30;50;0
2022;1105396;01111111;111090111109119901119019100;75;37.5;0;100;0
2022;1105396;11101111;111091101119119910109109100;37.5;37.5;0;100;50
2022;1105396;11111101;111090100119119901019019111;50;75;40;50;50
2022;1105396;01110111;111090111109109911019119111;50;87.5;56.7;50;0
2022;1105396;01110111;111190110019119901019119101;50;87.5;83.3;100;50
2022;1105396;11110111;101190011119119911119019110;50;75;0;50;75
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;;;;;;;
2022;1132074;01110100;900091000900000009801900090;50;0;10;0;0
2022;1132074;01010001;900091100900000009800900091;0;75;0;0;0
2022;1132074;10010000;900190001900000009801900090;37.5;62.5;20;0;0
2022;1132074;00000101;900090100900001009800900091;62.5;62.5;0;10;0
2022;1132074;00000000;900090010910110109810900090;12.5;0;0;0;0
2022;1132074;10100000;900190000900100019800900090;62.5;75;10;0;0
2022;1132074;01010101;900090000910110009800900090;12.5;50;0;0;0
2022;1132074;00000010;900090101901001009800901091;0;0;0;0;0
2022;1132074;00100101;900090100901000009800900190;50;50;40;0;25
2022;1132074;00111101;900091001910001009801900090;0;0;0;0;0
2022;1132074;11110100;900091010910010009800901090;12.5;0;0;0;0
2022;1132074;01001010;901090000900011009810900090;75;62.5;20;10;0
2022;1132074;01110111;900090100901000009800900190;62.5;37.5;20;10;25
2022;1132074;01100001;900091110910001009800900091;25;50;0;0;0
2022;1132074;01111101;900090000910000009810900190;100;50;0;0;25
2022;1132074;01110111;900090001910000009810900090;75;75;20;0;0
2022;1132074;11100111;900090100901100009800900090;87.5;75;10;0;0
2022;1132074;10111101;900090000911000109800911190;0;0;0;0;0
2022;1132074;00101000;900190100911001009800900190;50;50;80;10;0
2022;1132074;01110111;901090000911000009810900090;62.5;75;20;0;0
2022;1132074;01110101;900190001900010009810900091;50;37.5;20;0;25
2022;1132074;10101001;900091101911000009801900190;0;25;10;0;0
2022;1132074;11111100;900090100900000019811900090;75;75;20;0;0
2022;1132074;01101100;910090110910010009810900091;0;0;0;10;50
2022;1132074;01100011;901090010910000109800900191;87.5;62.5;0;0;0
2022;1132074;11110111;910091000900001009800900090;62.5;75;30;80;25
2022;1132074;01000111;901190100900010009811900090;62.5;50;30;0;25
